datetime,value
2025-06-05 20:20:00,20.37775
2025-06-05 20:30:00,20.35425
2025-06-05 20:40:00,21.4095
2025-06-05 20:50:00,21.585556
2025-06-05 21:00:00,20.02689
2025-06-05 21:10:00,20.042
2025-06-05 21:20:00,19.823778
2025-06-05 21:30:00,19.651001
2025-06-05 21:40:00,20.273779
2025-06-05 21:50:00,20.917223
2025-06-05 22:00:00,21.273874
2025-06-05 22:10:00,21.338
2025-06-05 22:20:00,21.3295
2025-06-05 22:30:00,22.029333
2025-06-05 22:40:00,22.358889
2025-06-05 22:50:00,22.791332
2025-06-05 23:00:00,23.528713
2025-06-05 23:10:00,23.550333
2025-06-05 23:20:00,24.328625
2025-06-05 23:30:00,24.484285
2025-06-05 23:40:00,24.261858
2025-06-05 23:50:00,24.616667
2025-06-06 00:00:00,24.73189
2025-06-06 00:10:00,24.449125
2025-06-06 00:20:00,24.053444
2025-06-06 00:30:00,24.358444
2025-06-06 00:40:00,24.062
2025-06-06 00:50:00,23.544334
2025-06-06 01:00:00,23.985
2025-06-06 01:10:00,24.133125
2025-06-06 01:20:00,23.477777
2025-06-06 01:30:00,23.765
2025-06-06 01:40:00,24.7638
2025-06-06 01:50:00,25.837856
2025-06-06 02:00:00,26.800428
2025-06-06 02:10:00,26.518375
2025-06-06 02:20:00,23.108143
2025-06-06 02:30:00,23.42
2025-06-06 02:40:00,24.484833
2025-06-06 02:50:00,25.525
2025-06-06 03:00:00,25.219166
2025-06-06 03:10:00,26.322
2025-06-06 03:20:00,25.493876
2025-06-06 03:30:00,25.941572
2025-06-06 03:40:00,25.639
2025-06-06 03:50:00,27.1098
2025-06-06 04:00:00,27.566444
2025-06-06 04:10:00,29.178875
2025-06-06 04:20:00,29.378668
2025-06-06 04:30:00,29.750444
2025-06-06 04:40:00,29.672222
2025-06-06 04:50:00,29.852667
2025-06-06 05:00:00,30.4322
2025-06-06 05:10:00,29.5475
2025-06-06 05:20:00,30.06611
2025-06-06 05:30:00,29.615334
2025-06-06 05:40:00,30.4189
2025-06-06 05:50:00,31.204222
2025-06-06 06:00:00,31.224556
2025-06-06 06:10:00,31.9002
2025-06-06 06:20:00,32.40525
2025-06-06 06:30:00,33.225334
2025-06-06 06:40:00,34.301777
2025-06-06 06:50:00,34.1773
2025-06-06 07:00:00,34.61222
2025-06-06 07:10:00,34.16711
2025-06-06 07:20:00,34.75375
2025-06-06 07:30:00,35.34711
2025-06-06 07:40:00,34.047443
2025-06-06 07:50:00,35.365875
2025-06-06 08:00:00,35.731
2025-06-06 08:10:00,33.77911
2025-06-06 08:20:00,32.026375
2025-06-06 08:30:00,26.338112
2025-06-06 08:40:00,23.2499
2025-06-06 08:50:00,22.229143
2025-06-06 09:00:00,23.830856
2025-06-06 09:10:00,21.88125
2025-06-06 09:20:00,18.606857
2025-06-06 09:30:00,19.246334
2025-06-06 09:40:00,19.334
2025-06-06 09:50:00,19.599571
2025-06-06 10:00:00,20.090427
2025-06-06 10:10:00,19.874
2025-06-06 10:20:00,19.545626
2025-06-06 10:30:00,19.822428
2025-06-06 10:40:00,20.875572
2025-06-06 10:50:00,20.860374
2025-06-06 11:00:00,19.698715
2025-06-06 11:10:00,18.394167
2025-06-06 11:20:00,18.684
2025-06-06 11:30:00,18.210857
2025-06-06 11:40:00,18.458286
2025-06-06 11:50:00,17.933714
2025-06-06 12:00:00,17.581625
2025-06-06 12:10:00,19.048286
2025-06-06 12:20:00,18.711
2025-06-06 12:30:00,17.946571
2025-06-06 12:40:00,18.396286
2025-06-06 12:50:00,18.061857
2025-06-06 13:00:00,18.058144
2025-06-06 13:10:00,18.063667
2025-06-06 13:20:00,18.038857
2025-06-06 13:30:00,17.589144
2025-06-06 13:40:00,17.19457
2025-06-06 13:50:00,17.077
2025-06-06 14:00:00,16.676428
2025-06-06 14:10:00,16.805
2025-06-06 14:20:00,16.796
2025-06-06 14:30:00,15.857572
2025-06-06 14:40:00,15.978857
2025-06-06 14:50:00,16.623714
2025-06-06 15:00:00,17.052572
2025-06-06 15:10:00,16.549286
2025-06-06 15:20:00,15.5217495
2025-06-06 15:30:00,15.107715
2025-06-06 15:40:00,13.570714
2025-06-06 15:50:00,13.898125
2025-06-06 16:00:00,14.129857
2025-06-06 16:10:00,13.359834
2025-06-06 16:20:00,13.597857
2025-06-06 16:30:00,13.611143
2025-06-06 16:40:00,14.220333
2025-06-06 16:50:00,14.253428
2025-06-06 17:00:00,15.145375
2025-06-06 17:10:00,14.705571
2025-06-06 17:20:00,15.474428
2025-06-06 17:30:00,16.864
2025-06-06 17:40:00,17.56643
2025-06-06 17:50:00,18.014715
2025-06-06 18:00:00,17.523285
2025-06-06 18:10:00,14.140375
2025-06-06 18:20:00,15.916572
2025-06-06 18:30:00,15.221
2025-06-06 18:40:00,15.600875
2025-06-06 18:50:00,12.904833
2025-06-06 19:00:00,11.683
2025-06-06 19:10:00,12.742333
2025-06-06 19:20:00,11.130555
2025-06-06 19:30:00,11.599222
2025-06-06 19:40:00,11.462375
2025-06-06 19:50:00,11.977
2025-06-06 20:00:00,12.048
2025-06-06 20:10:00,11.625
2025-06-06 20:20:00,11.161667
2025-06-06 20:30:00,11.1754
2025-06-06 20:40:00,10.617444
2025-06-06 20:50:00,10.900778
2025-06-06 21:00:00,11.247111
2025-06-06 21:10:00,11.3139
2025-06-06 21:20:00,11.17425
2025-06-06 21:30:00,10.622222
2025-06-06 21:40:00,10.9753
2025-06-06 21:50:00,11.206223
2025-06-06 22:00:00,11.778556
2025-06-06 22:10:00,12.203555
2025-06-06 22:20:00,11.7621
2025-06-06 22:30:00,11.493625
2025-06-06 22:40:00,11.508222
2025-06-06 22:50:00,11.609222
2025-06-06 23:00:00,11.852222
2025-06-06 23:10:00,11.963
2025-06-06 23:20:00,11.617888
2025-06-06 23:30:00,10.3567
2025-06-06 23:40:00,10.388778
2025-06-06 23:50:00,10.5205555
2025-06-07 00:00:00,11.009222
2025-06-07 00:10:00,11.368
2025-06-07 00:20:00,11.431125
2025-06-07 00:30:00,11.521222
2025-06-07 00:40:00,12.1298
2025-06-07 00:50:00,13.801778
2025-06-07 01:00:00,13.983111
2025-06-07 01:10:00,14.220222
2025-06-07 01:20:00,14.5751
2025-06-07 01:30:00,14.439445
2025-06-07 01:40:00,15.386666
2025-06-07 01:50:00,17.504444
2025-06-07 02:00:00,22.076445
2025-06-07 02:10:00,24.394667
2025-06-07 02:20:00,24.236876
2025-06-07 02:30:00,24.9479
2025-06-07 02:40:00,26.938555
2025-06-07 02:50:00,29.605223
2025-06-07 03:00:00,32.59014
2025-06-07 03:10:00,33.978333
2025-06-07 03:20:00,36.00811
2025-06-07 03:30:00,37.42275
2025-06-07 03:40:00,39.601112
2025-06-07 03:50:00,40.574333
2025-06-07 04:00:00,38.35925
2025-06-07 04:10:00,38.888
